path,line,code,role
"lib/game/map/interaction_indicator.dart","45","Paint()..color = color.withValues(alpha: 0.30 + 0.25 * pulse),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","50","Paint()..color = color.withValues(alpha: 0.85),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","61","double opacity = 1.0,","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","69","..color = color.withValues(alpha: 0.14 * opacity)","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","74","_portal(canvas, center, color, phase, scale, opacity);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","77","_gather(canvas, center, color, phase, scale, opacity);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","80","_talk(canvas, center, color, phase, scale, opacity);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","83","_attack(canvas, center, color, phase, scale, opacity);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","95","..color = color.withValues(alpha: 0.9 * o);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","114","..color = color.withValues(alpha: aAlpha);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","135","..color = color.withValues(alpha: 0.9 * o);","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","138","c, 2.4 * s, Paint()..color = color.withValues(alpha: 0.9 * o));","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","157","rect, Paint()..color = color.withValues(alpha: 0.22 * o));","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","163","..color = color.withValues(alpha: 0.9 * o),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","171","Paint()..color = color.withValues(alpha: 0.9 * o),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","183",".withValues(alpha: (on ? 1.0 : 0.55) * o),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","205","..color = color.withValues(alpha: 0.85 * o * fade),","UI style/state or decorative effect; no global removal"
"lib/game/map/interaction_indicator.dart","217","..color = color.withValues(alpha: 0.95 * o),","UI style/state or decorative effect; no global removal"
"lib/game/map/iso_map_component.dart","455","opacity: 0.5,","world placement/shadow (reviewed)"
"lib/game/map/iso_map_component.dart","467","void setObjectOpacity(int objId, double opacity) {","world placement/shadow (reviewed)"
"lib/game/map/iso_map_component.dart","468","_propertyComponents[objId]?.opacity = opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_monster_component.dart","45","static const double corpseOpacity = 0.5;","corpse fade (intentional)"
"lib/game/map/iso_monster_component.dart","148","double opacity = 1.0;","corpse fade (intentional)"
"lib/game/map/iso_monster_component.dart","172","opacity = 1 - (1 - corpseOpacity) * (_fade / fadeSeconds);","corpse fade (intentional)"
"lib/game/map/iso_monster_component.dart","175","opacity = corpseOpacity;","corpse fade (intentional)"
"lib/game/map/iso_monster_component.dart","186","if (opacity >= 1) {","corpse fade (intentional)"
"lib/game/map/iso_monster_component.dart","191","canvas.saveLayer(null, Paint()..color = Color.fromRGBO(0, 0, 0, opacity));","corpse fade (intentional)"
"lib/game/map/iso_object_catalog.dart","14","this.opacity = 0.20,","world placement/shadow (reviewed)"
"lib/game/map/iso_object_catalog.dart","21","final double opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_catalog.dart","31","opacity: ((raw['opacity'] as num?)?.toDouble() ?? 0.20)","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","32","double opacity = 1.0,","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","33","}) : _opacity = opacity.clamp(0.0, 1.0),","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","59","double _opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","60","double get opacity => _opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","61","set opacity(double value) {","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","62","_opacity = value.clamp(0.0, 1.0);","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","65","_shadowComponent?.opacity = _opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","83","if (def.shadow.enabled && def.shadow.opacity > 0) {","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","88","opacity: opacity,","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","123","opacity: opacity,","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","157","required this.opacity,","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","168","double opacity;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","173","if (!shadow.enabled || shadow.opacity <= 0 || opacity <= 0) return;","world placement/shadow (reviewed)"
"lib/game/map/iso_object_component.dart","203","(shadow.opacity * opacity).clamp(0.0, 1.0).toDouble(),","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","18","void paint(Canvas canvas, Rect dst, {double opacity = 1.0});","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","82","void paint(Canvas canvas, Rect dst, {double opacity = 1.0}) {","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","85","if (opacity < 1.0) paint.color = Color.fromRGBO(255, 255, 255, opacity);","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","103","void paint(Canvas canvas, Rect dst, {double opacity = 1.0}) {","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","105","if (opacity < 1.0) {","world placement/shadow (reviewed)"
"lib/game/map/iso_object_graphic.dart","106","canvas.saveLayer(dst, Paint()..color = Color.fromRGBO(255, 255, 255, opacity));","world placement/shadow (reviewed)"
"lib/game/my_game.dart","185","worldScene?.setObjectOpacity(objId, 1.0);","world placement/shadow (reviewed)"
